year,date,Open,High,Low,Close,Volume
1963,1963-07-01 09:08:53.540967040+00:00,1.261689791391235,70.30770580464385,69.425339150957,69.86540043199751,4577571.295663401
1964,1964-07-01 07:03:49.603554336+00:00,0.6570075699777314,81.85292901854459,80.90846085461123,81.36931209373721,4883692.232475127
1965,1965-07-01 07:40:58.235905968+00:00,0.3572222089010572,88.7348145312672,87.62799214285666,88.1733571424352,6171342.825525605
1966,1966-07-01 09:24:28.840827376+00:00,0.0,86.0552993912083,84.55878635436896,85.25573947429508,7540399.36592139
1967,1967-07-01 11:02:06.520847568+00:00,3.473106066385905,92.67095856237894,91.18193405587522,91.92586772605783,10089286.841527402
1968,1968-07-01 05:13:25.247074904+00:00,0.0,99.57769972111487,97.8197690612045,98.70278294492157,13061302.513190284
1969,1969-07-01 09:55:03.878272758+00:00,0.0,98.70756341149706,97.01020870654766,97.8374957250382,11359276.043506877
1970,1970-07-01 08:16:23.233082706+00:00,0.0,84.06245680426812,82.34241471309782,83.20671497656271,11604684.163059162
1971,1971-07-01 07:50:19.438913488+00:00,0.0,99.04352312382075,97.53216379269797,98.28484000967069,15425264.340445975
1972,1972-07-01 05:12:05.290498976+00:00,0.0,110.01846391611626,108.34576391654939,109.20082688568401,16525925.414243778
1973,1973-07-01 10:16:28.641712976+00:00,0.0,108.54601931238581,106.34409620289058,107.42918316065861,16140682.70107086
1974,1974-07-01 09:29:40.629142016+00:00,0.0,83.94030561393389,81.86215331402524,82.84377049079303,13881929.509214407
1975,1975-07-01 09:36:37.548812736+00:00,0.0,87.07363889047838,85.22962262626565,86.16024809347182,18611750.53782348
1976,1976-07-01 06:56:36.581770624+00:00,0.0,102.79501700490472,101.16460317549267,102.01061971693564,21244579.140126336
1977,1977-07-01 09:04:12.600225888+00:00,0.0,98.88051983609485,97.53850925818448,98.20326732745389,20991521.537704606
1978,1978-07-01 10:30:11.688311680+00:00,0.41283334096272783,96.78972698927345,95.24882739114935,96.01673503937626,28430864.906832296
1979,1979-07-01 11:48:05.265089600+00:00,0.0,103.77138625551754,102.17764709929092,103.01210856993073,32231775.07834144
