year,month,date,Open,High,Low,Close,Volume
1936,3,1936-03-16 03:54:32.727272704+00:00,14.859090978449041,14.859090978449041,14.859090978449041,14.859090978449041,0.0
1936,4,1936-04-16 03:40:00+00:00,14.845714296613421,14.845714296613421,14.845714296613421,14.845714296613421,0.0
1936,5,1936-05-15 22:17:08.571428608+00:00,14.088571366809663,14.088571366809663,14.088571366809663,14.088571366809663,0.0
1936,6,1936-06-15 02:54:32.727272704+00:00,14.693636417388916,14.693636417388916,14.693636417388916,14.693636417388916,0.0
1936,7,1936-07-16 12:20:52.173913088+00:00,15.533913156260615,15.533913156260615,15.533913156260615,15.533913156260615,0.0
1936,8,1936-08-16 09:42:51.428571392+00:00,15.866666702997117,15.866666702997117,15.866666702997117,15.866666702997117,0.0
1936,9,1936-09-15 21:17:08.571428608+00:00,16.01047620319185,16.01047620319185,16.01047620319185,16.01047620319185,0.0
1936,10,1936-10-16 10:42:51.428571392+00:00,16.86809539794922,16.86809539794922,16.86809539794922,16.86809539794922,0.0
1936,11,1936-11-15 18:20:00+00:00,17.352222124735516,17.352222124735516,17.352222124735516,17.352222124735516,0.0
1936,12,1936-12-15 19:10:54.545454592+00:00,17.069090929898348,17.069090929898348,17.069090929898348,17.069090929898348,0.0
1937,1,1937-01-16 17:00:00+00:00,17.578999996185303,17.578999996185303,17.578999996185303,17.578999996185303,0.0
1937,2,1937-02-13 07:40:00+00:00,18.090555402967667,18.090555402967667,18.090555402967667,18.090555402967667,0.0
1937,3,1937-03-15 09:21:49.090909056+00:00,18.09136356006969,18.09136356006969,18.09136356006969,18.09136356006969,0.0
1937,4,1937-04-16 05:51:49.090909056+00:00,17.001818136735395,17.001818136735395,17.001818136735395,17.001818136735395,0.0
1937,5,1937-05-15 16:00:00+00:00,16.23499999046326,16.23499999046326,16.23499999046326,16.23499999046326,0.0
1937,6,1937-06-15 11:38:10.909090944+00:00,15.640454639088023,15.640454639088023,15.640454639088023,15.640454639088023,0.0
1937,7,1937-07-16 17:42:51.428571392+00:00,16.542381014142716,16.542381014142716,16.542381014142716,16.542381014142716,0.0
1937,8,1937-08-16 02:54:32.727272704+00:00,16.74000007455999,16.74000007455999,16.74000007455999,16.74000007455999,0.0
1937,9,1937-09-16 07:37:08.571428608+00:00,14.37761892591204,14.37761892591204,14.37761892591204,14.37761892591204,0.0
1937,10,1937-10-16 03:48:00+00:00,12.253500175476074,12.253500175476074,12.253500175476074,12.253500175476074,0.0
